Date,port_ret,VaR,ES,exceed
2013-01-07,-0.0028007988390273963,-0.012982716674471317,-0.018991812733586137,0
2013-01-08,-0.0006993891524872953,-0.012982716674471317,-0.018991812733586137,0
2013-01-09,0.0023490845070620603,-0.012982716674471317,-0.018991812733586137,0
2013-01-10,0.005570568297690648,-0.012982716674471317,-0.018991812733586137,0
2013-01-11,-0.0001503053744069116,-0.012982716674471317,-0.018991812733586137,0
2013-01-14,-0.00010943150756009823,-0.012982716674471317,-0.018991812733586137,0
2013-01-15,0.00054047005307023,-0.012982716674471317,-0.018991812733586137,0
2013-01-16,-0.00027032860080566934,-0.012982716674471317,-0.018991812733586137,0
2013-01-17,0.003334234903860922,-0.012982716674471317,-0.018991812733586137,0
2013-01-18,0.0013898290930685064,-0.012982716674471317,-0.018991812733586137,0
2013-01-22,0.0023292099305918246,-0.012982716674471317,-0.018991812733586137,0
2013-01-23,-0.0005186144509473078,-0.012689011215690896,-0.018991812733586137,0
2013-01-24,-0.0031340323764612044,-0.012443541237303388,-0.01897684391290379,0
2013-01-25,0.0002670110953722493,-0.012341024346694054,-0.018916534166011734,0
2013-01-28,-0.0021237264832361102,-0.012341024346694054,-0.018916534166011734,0
2013-01-29,0.002386215609593678,-0.012341024346694054,-0.018916534166011734,0
2013-01-30,-0.0024302021916106087,-0.012341024346694054,-0.018916534166011734,0
2013-01-31,-7.638106425900126e-06,-0.012341024346694054,-0.018916534166011734,0
2013-02-01,0.0038892621645827963,-0.012341024346694054,-0.018916534166011734,0
2013-02-04,-0.0066308565128674335,-0.012341024346694054,-0.018916534166011734,0
2013-02-05,0.00352045694219294,-0.012341024346694054,-0.018916534166011734,0
2013-02-06,0.001721921191630671,-0.012341024346694054,-0.018916534166011734,0
2013-02-07,-0.003272157352172844,-0.01226148483077305,-0.01855798643464371,0
2013-02-08,0.005105977769983894,-0.01226148483077305,-0.01855798643464371,0
2013-02-11,-0.001924939145764637,-0.01226148483077305,-0.01855798643464371,0
2013-02-12,0.0009131763347989263,-0.01226148483077305,-0.01855798643464371,0
2013-02-13,1.7443644546033532e-05,-0.01226148483077305,-0.01855798643464371,0
2013-02-14,0.0005774845373193727,-0.01226148483077305,-0.01855798643464371,0
2013-02-15,-0.003727691463391525,-0.01226148483077305,-0.01855798643464371,0
2013-02-19,0.0036548839728352545,-0.01226148483077305,-0.01855798643464371,0
2013-02-20,-0.010778113927648714,-0.01226148483077305,-0.01855798643464371,0
2013-02-21,-0.005050175110274724,-0.01226148483077305,-0.01855798643464371,0
2013-02-22,0.006753030295316931,-0.01226148483077305,-0.01855798643464371,0
2013-02-25,-0.007175774195614826,-0.01226148483077305,-0.01855798643464371,0
2013-02-26,0.004150165751661217,-0.01226148483077305,-0.01855798643464371,0
2013-02-27,0.00534167791036938,-0.01226148483077305,-0.01855798643464371,0
2013-02-28,-0.001980802655593472,-0.01226148483077305,-0.01855798643464371,0
2013-03-01,0.002034048814004652,-0.01226148483077305,-0.01855798643464371,0
2013-03-04,2.3925100984423242e-05,-0.01226148483077305,-0.01855798643464371,0
2013-03-05,0.006633789952013525,-0.01226148483077305,-0.01855798643464371,0
2013-03-06,0.00029682632153016364,-0.01226148483077305,-0.01855798643464371,0
2013-03-07,3.448942846406844e-05,-0.01226148483077305,-0.01855798643464371,0
2013-03-08,0.0014484578755090682,-0.01226148483077305,-0.01855798643464371,0
2013-03-11,0.00092611610508192,-0.01226148483077305,-0.01855798643464371,0
2013-03-12,-0.0009230997641792582,-0.01226148483077305,-0.01855798643464371,0
2013-03-13,-0.0015724290353691384,-0.01226148483077305,-0.01855798643464371,0
2013-03-14,0.0037588535234613363,-0.01226148483077305,-0.01855798643464371,0
2013-03-15,-0.00045057906149981175,-0.01226148483077305,-0.01855798643464371,0
2013-03-18,-0.002084479318181287,-0.01226148483077305,-0.01855798643464371,0
2013-03-19,-0.0007162942991813526,-0.01226148483077305,-0.01855798643464371,0
2013-03-20,0.0020341736763689333,-0.01226148483077305,-0.01855798643464371,0
2013-03-21,-0.003989401671980697,-0.01226148483077305,-0.01855798643464371,0
2013-03-22,0.0036955648455412327,-0.01226148483077305,-0.01855798643464371,0
2013-03-25,-0.0029617031626074652,-0.01226148483077305,-0.01855798643464371,0
2013-03-26,0.0044461812839144965,-0.01226148483077305,-0.01855798643464371,0
2013-03-27,0.002111553457874338,-0.01226148483077305,-0.01855798643464371,0
2013-03-28,0.00026671958781460114,-0.01226148483077305,-0.01855798643464371,0
2013-04-01,-0.005144505536596622,-0.01226148483077305,-0.01855798643464371,0
2013-04-02,-0.00014179049810847388,-0.01226148483077305,-0.01855798643464371,0
2013-04-03,-0.006277607672705798,-0.01226148483077305,-0.01855798643464371,0
2013-04-04,0.004138455749493619,-0.01226148483077305,-0.01855798643464371,0
2013-04-05,0.0022336714720408435,-0.01226148483077305,-0.01855798643464371,0
2013-04-08,0.0018547022744851982,-0.01226148483077305,-0.01855798643464371,0
2013-04-09,0.0033551048108217962,-0.01226148483077305,-0.01855798643464371,0
2013-04-10,0.00501777208217824,-0.01226148483077305,-0.01855798643464371,0
2013-04-11,0.0021908426849166496,-0.01226148483077305,-0.01855798643464371,0
2013-04-12,-0.0066878076734450675,-0.01226148483077305,-0.01855798643464371,0
2013-04-15,-0.026158993477280457,-0.01226148483077305,-0.01855798643464371,1
2013-04-16,0.010082975177071685,-0.012341024346694054,-0.01892221452430804,0
2013-04-17,-0.010053397145796616,-0.012341024346694054,-0.01892221452430804,0
2013-04-18,-0.0018440856307875286,-0.012341024346694054,-0.01892221452430804,0
