date,port_ret,sigma_ewma,VaR,ES,exceed
2010-01-05,0.0022003048277965953,0.007554163545215037,,,0
2010-01-06,-5.373188831592213e-06,0.007343837153416323,,,0
2010-01-07,-9.43752059754388e-05,0.007120114410598581,,,0
2010-01-08,0.004930273338686841,0.006903245748746233,,,0
2010-01-11,0.0010125505346073593,0.0068010270891371944,,,0
2010-01-12,-0.007895386955681205,0.0065985033768465465,,,0
2010-01-13,0.004828659049106343,0.006683416799526753,,,0
2010-01-14,0.004276659391966198,0.0065868758453439535,,,0
2010-01-15,-0.008724521436012933,0.00647156135188029,,,0
2010-01-19,0.010049048769783742,0.006628369060977864,,,0
2010-01-20,-0.012938093031985898,0.00688172672333524,,,0
2010-01-21,-0.013115587456145605,0.0073864963285204255,,,0
2010-01-22,-0.014701153777144038,0.007849065319498827,,,0
2010-01-25,0.003416070909924851,0.008418954338225612,,,0
2010-01-26,-0.005190321522736185,0.008205256671663493,,,0
2010-01-27,0.0007152244718322542,0.008056241622218656,,,0
2010-01-28,-0.010154537743747194,0.007812780560961676,,,0
2010-01-29,-0.0068641840148574995,0.00797270630936995,,,0
2010-02-01,0.011436993399052964,0.00791057674718657,,,0
2010-02-02,0.008719794940775405,0.008165223823346179,,,0
2010-02-03,-0.00490384631119406,0.008199555884849491,,,0
2010-02-04,-0.02594310476767342,0.008040001009009416,,,0
2010-02-05,0.000434100592060338,0.010057126843714802,,,0
2010-02-08,-0.007295965934932869,0.009751326008752675,,,0
2010-02-09,0.01253479184167644,0.009621690315566171,,,0
2010-02-10,-0.003853952153214657,0.009820874169226982,,,0
2010-02-11,0.011536354528119463,0.009568373535396621,,,0
2010-02-12,-0.0010543634448334505,0.009697721089720692,,,0
2010-02-16,0.015264563435116674,0.009405835827314909,,,0
2010-02-17,0.00046935226101135763,0.00985606293433939,,,0
2010-02-18,0.00395640093234273,0.009556499121771226,,,0
2010-02-19,-0.0009532807003371779,0.009315914417640165,,,0
2010-02-22,-0.0003618466990178426,0.009035132007680146,,,0
2010-02-23,-0.008453209472952083,0.008760333883731219,,,0
2010-02-24,0.005673774120184716,0.008742210692542175,,,0
2010-02-25,-0.000282038109257865,0.008589073040278764,,,0
2010-02-26,0.0047787009177611695,0.008327701836609743,,,0
2010-03-01,0.009142099841800977,0.008158415272244333,,,0
2010-03-02,0.005931199107830354,0.008220756336260895,,,0
2010-03-03,0.0032349444207138145,0.008101649957086943,,,0
2010-03-04,-4.7823917234735e-05,0.007894708356224649,,,0
2010-03-05,0.009964673129440882,0.007654212699923897,,,0
2010-03-08,-0.0009247272216454938,0.007812133918906649,,,0
2010-03-09,0.001484117047716338,0.007577531089410521,,,0
2010-03-10,0.002391139977654,0.0073556777370275914,,,0
2010-03-11,0.00243431253035048,0.007155605375948792,,,0
2010-03-12,0.0006789453792176436,0.006963194643858097,,,0
2010-03-15,-0.002214362946674875,0.006753115790436034,,,0
2010-03-16,0.009929109186815388,0.00656981755468679,,,0
2010-03-17,0.0038966693942050767,0.006818209815954667,,,0
2010-03-18,-0.0015235336453955362,0.006679052921693449,,,0
2010-03-19,-0.008193576704262462,0.006486326567561491,,,0
2010-03-22,0.004080478104522056,0.006601224761596043,,,0
2010-03-23,0.005050988914360732,0.0064777014708622726,,,0
2010-03-24,-0.012175274919062062,0.006401072465271291,,,0
2010-03-25,-0.002266640784821694,0.00688545889135935,,,0
2010-03-26,0.004663258442722196,0.006698748474362102,,,0
2010-03-29,0.004952019671578656,0.006594360925337622,,,0
2010-03-30,0.0009262182778834727,0.00650751951072485,,,0
2010-03-31,0.0002949681771758361,0.00631335207234745,,,0
2010-04-01,0.008881482282189934,0.006121448349825537,,,0
2010-04-05,0.0032087230740417416,0.006321126937290384,,,0
2010-04-06,0.002063976276255375,0.006178754019853121,,,0
2010-04-07,0.0004611339265847558,0.0060118201110576095,,,0
2010-04-08,0.0008847548465065191,0.005829770223151902,,,0
2010-04-09,0.006184159715344417,0.005656325226838416,,,0
2010-04-12,0.0005244685759603906,0.005689376420184892,,,0
2010-04-13,0.0011437714195114967,0.005517550891904188,,,0
2010-04-14,0.008408301977203603,0.005356795549362792,,,0
2010-04-15,0.0012994377310239225,0.005587084711421816,,,0
2010-04-16,-0.013174930903721183,0.005426223082702711,,,0
2010-04-19,-0.0017771870086750186,0.006171870979348971,,,0
2010-04-20,0.006739506505931636,0.005999664617494416,,,0
2010-04-21,0.002521542439751001,0.006046608459928528,,,0
2010-04-22,0.0006043861034363274,0.0058948516531076856,,,0
2010-04-23,0.00529230525112695,0.005717187805655787,,,0
2010-04-26,-0.0013750765312697255,0.005692589209937534,,,0
2010-04-27,-0.014346973600971202,0.005529438283073817,,,0
2010-04-28,0.001093282481147262,0.0064101751577598,,,0
2010-04-29,0.011086832392509793,0.006220662409662353,,,0
2010-04-30,-0.008299315963986753,0.0066143717400871365,,,0
2010-05-03,0.007975771732038728,0.006727379685531704,,,0
2010-05-04,-0.020247460794440175,0.006808741092933528,,,0
2010-05-05,-0.007509053230549789,0.008256815249944078,,,0
2010-05-06,-0.018801860045288166,0.00821386942996785,,,0
2010-05-07,-0.009705294433978606,0.009199466746587162,,,0
2010-05-10,0.032515743699231936,0.009230598112759659,,,0
2010-05-11,-0.0009287834944414208,0.011980322212986335,,,0
2010-05-12,0.010552156244779343,0.011617581135250495,,,0
2010-05-13,-0.007265176412165286,0.011556425919501869,,,0
2010-05-14,-0.01142667950020343,0.011344817694831042,,,0
2010-05-17,-0.001192398969243058,0.011349746053601225,,,0
