,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD
SPY,0,1,1,0,1,0,1,0
QQQ,0,0,0,0,0,0,0,0
IWM,0,0,0,0,0,0,1,0
EFA,0,0,0,0,0,0,0,0
EEM,0,0,0,0,0,0,0,1
TLT,1,0,1,1,1,0,0,0
LQD,1,1,1,1,1,1,0,1
GLD,0,0,0,0,0,0,0,0
