,out_degree,in_degree,net_influence,pagerank
LQD,7,2,5,0.18464859350115115
TLT,4,1,3,0.08258728982591389
SPY,4,2,2,0.10013708891005285
GLD,0,2,-2,0.1857910770517301
IWM,1,3,-2,0.12141622029507936
EEM,1,3,-2,0.12141622029507936
QQQ,0,2,-2,0.1038664212109404
EFA,0,2,-2,0.10013708891005285
