date,symbol,MES_expanding,LRMES_proxy,market_tail_q,market_cap_E,debt_D,debt_source,SRISK
2012-06-07,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-07,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-07,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-07,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-07,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-08,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-08,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-08,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-08,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-08,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-11,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-11,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-11,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-11,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-11,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-12,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-12,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-12,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-12,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-12,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-13,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-13,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-13,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-13,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-13,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-14,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-14,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-14,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-14,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-14,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-15,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-15,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-15,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-15,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-15,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-18,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-18,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-18,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-18,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-18,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-19,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-19,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-19,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-19,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-19,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-20,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-20,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-20,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-20,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-20,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-21,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-21,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-21,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-21,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-21,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-22,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-22,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-22,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-22,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-22,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-25,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-25,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-25,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-25,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-25,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-26,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-26,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-26,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-26,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-26,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-27,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-27,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-27,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-27,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
2012-06-27,WFC,,,-0.019635243326750818,305159816507.88873,424136998912.0,yfinance_totalDebt,
2012-06-28,BAC,,,-0.019635243326750818,416048216952.5144,763981987840.0,yfinance_totalDebt,
2012-06-28,GS,,,-0.019635243326750818,274580133543.13348,731217985536.0,yfinance_totalDebt,
2012-06-28,JPM,,,-0.019635243326750818,901671796335.0393,1148076032000.0,yfinance_totalDebt,
2012-06-28,MS,,,-0.019635243326750818,290325576149.1118,467027984384.0,yfinance_totalDebt,
