date,TCI
2013-01-04,58.50711216304041
2013-01-11,58.55151574411728
2013-01-18,58.52003764098292
2013-01-28,58.579180386753016
2013-02-04,58.56350370424672
2013-02-11,58.55275428891022
2013-02-19,58.51620475211577
2013-02-26,58.51680946559222
2013-03-05,58.47207499828042
2013-03-12,58.509072838975875
2013-03-19,58.49163845851898
2013-03-26,58.45803301412086
2013-04-03,58.43743884951534
2013-04-10,58.424074956466285
2013-04-17,58.29938384197038
2013-04-24,58.32541310320586
2013-05-01,58.29498374868895
2013-05-08,58.530959580143445
2013-05-15,58.581023178145344
2013-05-22,58.57519764081946
2013-05-30,58.47101002246941
2013-06-06,58.356064610290936
2013-06-13,58.23520919529044
2013-06-20,58.484011483011216
2013-06-27,58.19122056673446
2013-07-05,58.54325407251472
2013-07-12,58.614231970969755
2013-07-19,58.51373488799678
2013-07-26,58.48442952150085
2013-08-02,58.491646670357355
2013-08-09,58.4472603874766
2013-08-16,58.406052207047715
2013-08-23,58.4273615370425
2013-08-30,58.23143265593395
2013-09-09,58.1090355682157
2013-09-16,58.127841154240734
2013-09-23,58.26763146858714
2013-09-30,58.233289368626316
2013-10-07,58.217251336655835
2013-10-14,58.1554787737833
2013-10-21,58.14537674826175
2013-10-28,58.137213704414464
2013-11-04,58.148705359362026
2013-11-11,58.22921536351528
2013-11-18,58.08134381889784
2013-11-25,58.05182039104801
2013-12-03,58.10351871583535
2013-12-10,58.00088047687316
2013-12-17,57.98591138104108
2013-12-24,57.97363618873334
2014-01-02,57.87668129133894
2014-01-09,57.918892936380075
2014-01-16,57.95797543918594
2014-01-24,57.99723433481057
2014-01-31,57.928989265736874
2014-02-07,57.9658992233643
2014-02-14,58.00634965566014
2014-02-24,57.90350954854922
2014-03-03,57.858701852643954
2014-03-10,57.863930185966176
2014-03-17,57.86410811150515
2014-03-24,57.854191548691496
2014-03-31,57.81970188759104
2014-04-07,57.83096480279875
2014-04-14,57.84407996325559
2014-04-22,57.81380545410004
2014-04-29,57.844200403032474
2014-05-06,57.848561560005024
2014-05-13,57.786538057799504
2014-05-20,57.813317481320574
2014-05-28,57.795392903041396
2014-06-04,57.728241189544626
2014-06-11,57.75503359210329
2014-06-18,57.74101100118828
2014-06-25,57.791735083021074
2014-07-02,57.80707331274819
2014-07-10,57.762291767964506
2014-07-17,57.81709621168645
2014-07-24,57.920707262049845
2014-07-31,57.91133596530448
2014-08-07,57.14088673550004
2014-08-14,56.28056268663941
2014-08-21,56.08804432738208
2014-08-28,55.92002892918728
2014-09-05,55.89651693635919
2014-09-12,55.814139776246066
2014-09-19,55.8682096563218
2014-09-26,55.65501982614188
2014-10-03,55.36201923009279
2014-10-10,55.088691044521596
2014-10-17,54.810577268384094
2014-10-24,54.70290177083889
2014-10-31,53.80597967954195
2014-11-07,53.915319153111156
2014-11-14,53.45023433252851
2014-11-21,53.28909965841422
2014-12-01,52.44452815947521
2014-12-08,52.58721733147204
2014-12-15,52.16263683016672
2014-12-22,51.86723761169654
2014-12-30,51.79899206226941
2015-01-07,51.915683427308316
2015-01-14,51.998944059099266
2015-01-22,51.99039692912073
2015-01-29,51.87869006118221
2015-02-05,52.08487554775677
2015-02-12,52.15831467361336
2015-02-20,52.19919732641705
2015-02-27,52.19448503071297
2015-03-06,52.15901903891576
2015-03-13,52.085557809292155
2015-03-20,52.01439762000865
2015-03-27,51.89444653949814
2015-04-06,51.82418670933687
2015-04-13,51.60588553135117
2015-04-20,51.507245071576776
2015-04-27,51.44618717492401
2015-05-04,51.52482098295591
2015-05-11,51.319661433909
2015-05-18,51.23419680492863
2015-05-26,51.28379485598469
2015-06-02,51.24256355079082
2015-06-09,50.918562288713076
2015-06-16,50.83506857032505
2015-06-23,50.69547095433079
2015-06-30,50.807910917239965
2015-07-08,50.48274674531542
2015-07-15,50.47279662879992
2015-07-22,50.46001607152907
2015-07-29,50.25334458098733
2015-08-05,50.12340867918242
2015-08-12,50.18507150140116
2015-08-19,50.16518183692868
2015-08-26,50.573251626207096
2015-09-02,50.67600740162467
2015-09-10,50.7160771147075
2015-09-17,50.778089618766984
2015-09-24,50.93344794903459
2015-10-01,51.0513901720236
2015-10-08,51.24904300148541
2015-10-15,51.34288703488022
2015-10-22,51.30885939654564
2015-10-29,51.1940682329889
2015-11-05,51.03027209095855
2015-11-12,51.069414781181514
2015-11-19,51.0281309998376
2015-11-27,50.91783617728959
2015-12-04,50.83121711283843
2015-12-11,50.95315497424853
2015-12-18,51.06838969089922
2015-12-28,51.105987111395066
2016-01-05,51.08886777781327
2016-01-12,51.23777837460882
2016-01-20,51.407733859194664
2016-01-27,51.55275305185337
2016-02-03,51.63555977409943
2016-02-10,51.70189973368675
2016-02-18,51.947380238926314
2016-02-25,51.821703687329496
2016-03-03,51.93164199282245
2016-03-10,51.8630007433546
2016-03-17,51.806490892098324
2016-03-24,51.78189292263737
2016-04-01,51.8240112137703
2016-04-08,51.90046819682159
2016-04-15,51.95416421351236
2016-04-22,51.87866051591488
2016-04-29,51.87134007942467
2016-05-06,51.86208894703583
2016-05-13,51.90243941959468
2016-05-20,51.99198333039072
2016-05-27,52.008572913090696
2016-06-06,52.1105352361739
2016-06-13,52.169705569076754
2016-06-20,51.902505193357804
2016-06-27,52.48122372966722
2016-07-05,52.52944568656423
2016-07-12,52.54943899317772
2016-07-19,52.66087009294775
2016-07-26,52.67663228085803
2016-08-02,52.58391978720297
2016-08-09,52.6248422913621
2016-08-16,52.71625904846691
2016-08-23,52.728758184386656
2016-08-30,52.745614928423436
2016-09-07,52.687122937631855
