date,FROM_SPY,TO_SPY,NET_SPY,FROM_QQQ,TO_QQQ,NET_QQQ,FROM_IWM,TO_IWM,NET_IWM,FROM_EFA,TO_EFA,NET_EFA,FROM_EEM,TO_EEM,NET_EEM,FROM_TLT,TO_TLT,NET_TLT,FROM_LQD,TO_LQD,NET_LQD,FROM_GLD,TO_GLD,NET_GLD
2013-01-04,3.5198983540387188,378.9849191895695,375.46502083553077,88.23671518338934,4.340479133256361,-83.89623605013297,89.6368491275493,2.5720122256302513,-87.06483690191905,85.83175966142166,13.84530189327948,-71.98645776814217,86.29484478311346,8.545643029767705,-77.74920175334576,44.50475329712822,51.56077630520512,7.056023008076899,54.524406175958674,5.670880283077729,-48.853525892880945,15.50767072172398,2.536885244537198,-12.970785477186782
2013-01-11,3.6323335829183927,378.3052998121662,374.6729662292478,88.2582843089231,4.612466607977554,-83.64581770094554,89.58150114635927,2.6137578561256634,-86.96774329023361,85.89131113889977,13.686641402802094,-72.20466973609767,86.30389023369855,8.678405573982293,-77.62548465971626,44.4332770812398,51.95579594057026,7.522518859330461,54.51315271431,5.742488507127391,-48.77066420718261,15.798375746589347,2.817270252186761,-12.981105494402586
2013-01-18,3.5382075503841555,378.5018809273031,374.96367337691896,88.25043758201126,4.629843561977283,-83.62059402003398,89.53808514150889,2.67277860706752,-86.86530653444137,85.92126434113382,13.29790115776225,-72.62336318337157,86.2285185324373,8.693980122896539,-77.53453840954077,44.48978155504122,51.787340686571206,7.297559131529987,54.622991871959414,5.813423544062461,-48.809568327896955,15.571014553387297,2.763152520223018,-12.807862033164279
2013-01-28,3.4018353060842683,379.342995483004,375.94116017691977,88.21900634304721,4.213128967857322,-84.0058773751899,89.62944946946658,2.666952743944994,-86.96249672552159,85.923374012293,12.971572419955509,-72.95180159233749,86.22973571110872,8.81344470805567,-77.41629100305305,44.78997359367327,52.01493012831402,7.224956534640754,54.74626654561837,6.06697780157406,-48.67928874404431,15.69380211273273,2.5434408413185654,-13.150361271414164
2013-02-04,3.6950499291922645,377.89334283513114,374.1982929059389,88.21323209437271,4.043705022483685,-84.16952707188904,89.57527192193723,2.7159709347091505,-86.85930098722808,85.7347299310477,13.397118907880893,-72.3376110231668,86.13046763213443,8.818777446476302,-77.31169018565812,45.1725421482474,52.47666027809683,7.304118129849428,55.10511850585174,6.701254859194636,-48.40386364665711,14.881617471190271,2.461199350001128,-12.420418121189144
2013-02-11,3.5737066767904087,378.7249314877224,375.151224810932,88.24181739564754,3.8763045054279193,-84.36551289021962,89.52662174423843,2.910628336449495,-86.61599340778893,85.8131670510172,13.016022340691654,-72.79714471032555,86.23592216715619,8.616577851858473,-77.61934431529772,45.275286840491646,52.26471440241321,6.989427561921566,55.10837105421759,6.547198151050355,-48.56117290316724,14.647141381722818,2.465657235668279,-12.18148414605454
2013-02-19,3.5905961409766283,378.8141229122566,375.22352677128,88.20865275113117,3.906808924836559,-84.30184382629461,89.5250402829693,3.0030703203571587,-86.52196996261215,85.85270193229596,12.71831163225425,-73.1343903000417,86.17220263235436,8.433167498440874,-77.73903513391349,45.41707059879348,52.22598805454727,6.808917455753793,55.042309784136776,6.762811321912287,-48.27949846222449,14.321063894268457,2.265357352321128,-12.055706541947329
2013-02-26,3.7431729185220872,378.72551920756115,374.98234628903907,88.18650225310469,3.938275387423452,-84.24822686568125,89.61334320141913,3.059428686642609,-86.55391451477652,85.8539996867733,12.546534177040872,-73.30746550973244,86.08426135477015,8.359644763229078,-77.72461659154106,45.60951869066142,52.24828153291569,6.638762842254273,55.15729489109561,6.816072094290685,-48.34122279680493,13.8863827283914,2.440719875634223,-11.445662852757177
2013-03-05,3.727234291046302,378.57311234277654,374.8458780517302,88.128557737266,4.061403363042251,-84.06715437422375,89.58876717096173,3.050730984336834,-86.5380361866249,85.96979285735428,12.135420952535114,-73.83437190481916,86.04301393767865,8.142202339494055,-77.90081159818459,45.56528342054085,52.43878308544532,6.873499664904472,55.122092102116696,6.884707111187987,-48.23738499092871,13.631858469278834,2.490239807425244,-11.14161866185359
2013-03-12,3.7527182586349204,378.43825419067844,374.68553593204354,88.10815164965054,4.041507771384032,-84.0666438782665,89.57269089279762,2.988183149803178,-86.58450774299445,85.97720404980898,12.254478540658168,-73.7227255091508,86.04131270954744,8.054244523401334,-77.9870681861461,45.5823803772968,52.871747366112736,7.289366988815935,55.42284651869368,6.885282643964174,-48.53756387472951,13.615278255377005,2.5388845258049346,-11.07639372957207
2013-03-19,3.7360431288503184,378.85472968706375,375.1186865582134,88.12413314669135,4.029495335674475,-84.09463781101688,89.57707188887501,2.9386704616785324,-86.63840142719648,86.02169508078326,12.040745233037825,-73.98094984774544,85.91966886418224,7.948365897581716,-77.97130296660052,45.84045625656848,52.900445388872654,7.059989132304175,55.27287940379153,6.819828999749407,-48.45305040404212,13.44115989840957,2.4008266644934313,-11.040333233916138
2013-03-26,3.768581420722224,379.2009629472643,375.4323815265421,88.11833663671219,4.111783148378851,-84.00655348833334,89.52810391333784,2.7810831715594575,-86.74702074177839,86.08878613025928,11.71729525211612,-74.37149087814316,85.8276260537403,7.988036172089188,-77.83958988165111,46.12520398140468,52.61446543151782,6.4892614501131405,54.9587490306654,6.690227939774407,-48.26852109089099,13.248876946124945,2.5604100502667264,-10.688466895858218
2013-04-03,3.7418918822132783,379.60265440228494,375.86076252007166,88.15612807344341,4.084078338838265,-84.07204973460514,89.45252344987954,3.0270851256867797,-86.42543832419275,86.02986673678069,11.446178161561999,-74.58368857521869,85.88381067552307,8.07081614433503,-77.81299453118804,46.19066781213663,52.315894351222774,6.1252265390861425,54.96145183235979,6.428191772844637,-48.53326005951516,13.083170333786358,2.524612499348293,-10.558557834438066
2013-04-10,3.7455370862063164,379.395215120472,375.6496780342657,88.16672585989708,3.835899422487024,-84.33082643741007,89.46773652502554,3.0581397203113623,-86.40959680471418,86.07576308789325,11.09029313948033,-74.98546994841291,85.86365723732607,8.174161578056104,-77.68949565926997,45.99528253487618,52.567458280055455,6.572175745179273,54.85332947733603,6.613874284992693,-48.23945519234334,13.22456784316981,2.6575581058753013,-10.567009737294509
2013-04-17,3.720156681439436,379.8395062381581,376.11934955671865,88.23094688187997,3.5221846792590785,-84.70876220262089,89.5761641994909,3.3437407844773803,-86.23242341501353,86.10384687622874,9.747526439681026,-76.35632043654772,85.81834352995881,8.34069364157192,-77.47764988838689,45.90734040241622,52.80209039055056,6.894749988134343,55.03405104471991,6.470916391812351,-48.56313465290756,12.004221119629051,2.328412170252669,-9.675808949376382
2013-04-24,3.7201858332285207,379.7892133441169,376.06902751088836,88.26071747211321,3.4544184324095295,-84.80629903970369,89.62406705011135,3.2465183608857657,-86.37754868922559,86.15421982983223,9.829547156581011,-76.32467267325121,85.77957092999759,8.559811828014706,-77.21975910198289,45.93377998698373,52.676326609867694,6.742546622883964,54.928898156800244,6.577592193853557,-48.35130596294669,12.201865566580045,2.469876899917784,-9.73198866666226
