,SPY,QQQ,IWM,EFA,EEM,TLT,LQD,GLD,leverage_hint,ESloss_SPY,ESloss_QQQ,ESloss_IWM,ESloss_EFA,ESloss_EEM,ESloss_TLT,ESloss_LQD,ESloss_GLD,k_SPY,k_QQQ,k_IWM,k_EFA,k_EEM,k_TLT,k_LQD,k_GLD,method_SPY,method_QQQ,method_IWM,method_EFA,method_EEM,method_TLT,method_LQD,method_GLD
2014-11-28,0.10939728331209164,0.10310209763410623,0.08376919509847167,0.08305461644736427,0.0772673408400531,0.12958160231322438,0.32386485078881944,0.08996301356586926,1.8507980923001335,0.023897729510928653,0.025356871933883605,0.03120892689430286,0.031477439757724164,0.033835080350889925,0.020175292164572884,0.008072338444431922,0.02906023911602982,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2014-12-31,0.10882811996607028,0.1026237930749922,0.08358719795765891,0.0832143957050763,0.07756981884421363,0.12921969297195665,0.32605684337735347,0.08890013810267854,1.8570605360944565,0.02398309829616222,0.025433044524338696,0.031225301987690877,0.03136519200095061,0.03364756470264073,0.020198434453015064,0.008004848085682227,0.029359183846466467,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-01-30,0.10867036515707777,0.10252959487541236,0.08424171415952102,0.08298351758664722,0.07789472013737463,0.12919624527714257,0.3254307818997576,0.08905306090706677,1.8660896524157269,0.023960965749028673,0.025396051750981887,0.03090923449791759,0.03137788048987407,0.03342777139286273,0.02015419946514384,0.008001231113611257,0.02923927455093857,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-02-27,0.10971290522206946,0.10390886236965123,0.08471098247355507,0.08389346259693752,0.07864879088050529,0.12924404172293674,0.3211026828698184,0.08877827186452619,1.8673703456544437,0.02384341298934271,0.02517523577694807,0.030880648920428386,0.031181572776874625,0.033260906877067176,0.020240237573800442,0.008146708978233507,0.029465882299018746,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-03-31,0.11075509624739667,0.10460337470951414,0.08539566957378973,0.0850862384219023,0.0792572444834991,0.12862500521617676,0.3172805794406436,0.08899679190707784,1.842271163376074,0.023787042813700525,0.02518595813556218,0.03085093458979047,0.03096312946882117,0.033240320597076045,0.020482302114153847,0.008303490307906515,0.02960259757478769,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-04-30,0.1109384185146874,0.10466842867001426,0.08556535842485674,0.08563189341529229,0.07964160122272357,0.12950850549288584,0.31422254077301504,0.08982325348652485,1.8445014009285616,0.023791200189284697,0.025216372855721564,0.030846106089574242,0.030822139022027455,0.03314044523269212,0.020379805276268606,0.008399646050447315,0.029383906963039684,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-05-29,0.11179569513141181,0.10556154636149516,0.08619773093978479,0.08590914720761741,0.08006536355450442,0.12889598303829378,0.3115649584650476,0.09000957530184515,1.8345568022634557,0.023665920929614497,0.02506355933997902,0.030693941156055747,0.03079704743031935,0.03304485190341002,0.020526226022615876,0.00849180246163045,0.029394073601378762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-06-30,0.11201356190097721,0.10603760861199393,0.08595945824510133,0.0865381119864093,0.08044115705909145,0.1284107546740605,0.31019252842469436,0.09040681909767194,1.8332395909335113,0.023692493640142007,0.02502772966768297,0.03087363109457237,0.03066718861818183,0.03299157669996014,0.020667120987527772,0.008555591639896123,0.029354872004526654,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-07-31,0.11746185293309802,0.10984244383456143,0.0904610547253176,0.0904704349131105,0.08152363378204734,0.12317746356826871,0.3013809780147508,0.08568213822884553,1.8374585693664969,0.021539581218568825,0.023033711132162314,0.027968711276013355,0.027965811414148577,0.03103491593738564,0.020540113816630137,0.00839495291973012,0.029528664592596288,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-08-31,0.11496324847544721,0.10584448285094396,0.09108186109143959,0.09138373434708817,0.07940777086741743,0.12400576262199324,0.30810049021357117,0.08521264953209921,1.8021455355389233,0.021014322074645323,0.022824758222048228,0.02652421350706879,0.026436594515110275,0.030423656322555285,0.019481955347307824,0.007841190802831483,0.028351127954312424,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-09-30,0.11619686533026322,0.1044905631183464,0.09482115382415245,0.09183834037824717,0.08305225942864192,0.12091446890422199,0.3014468309749155,0.08723951804121141,1.7874218843381167,0.020214240390216742,0.022478885157459504,0.02477117471837068,0.025575716620113556,0.028281366269074064,0.019425560808906367,0.007791859548760813,0.026923937925310507,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-10-30,0.11803261441081607,0.10497220438650805,0.09755895760891312,0.09464673032665914,0.08414622532118937,0.12119483632319727,0.29427154570757996,0.08517688591513703,1.7803279640217309,0.019527369939992587,0.02195692221626573,0.023625370576673008,0.02435231009702713,0.02739120522384387,0.019017860797616696,0.007832447819725221,0.027059765120796712,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-11-30,0.12045885228790242,0.10541992449054105,0.0990658327454952,0.09717986441404558,0.08647378269451884,0.11761048132874716,0.28968299764738825,0.0841082643913615,1.8005920688747343,0.018644000371964946,0.02130370418794631,0.022670125760026454,0.023110084588032504,0.0259712807383003,0.019095533505934056,0.0077527328324454425,0.026701714785268903,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2015-12-31,0.11989892857609113,0.1041779234460132,0.10043662790465462,0.09960720288794678,0.0887390463936049,0.11772616055814487,0.28234073418104566,0.08707337605249886,1.7908535583929703,0.01875889494879277,0.021589712400029368,0.022393935883300062,0.022580409251747677,0.025345904616277136,0.019105111344566758,0.007966159796798796,0.02583075915507877,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-01-29,0.11807110680526071,0.10030814163287825,0.09947721866303146,0.09881050137520632,0.08730283354459353,0.12036836638013504,0.28683829618656953,0.08882353541232511,1.7993722565024524,0.019387009281377376,0.022820138088828903,0.02301075235376241,0.02316601587521607,0.02621960308226267,0.01901700348966322,0.007980265096844722,0.025770710801705624,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-02-29,0.11753603460175982,0.09812155535837927,0.09871911092068046,0.09964504612166314,0.0877674812348066,0.12044098471141436,0.28707871527884854,0.09069107177244791,1.8075604091876414,0.019547971602607704,0.023415762808555098,0.023274025112770744,0.023057755062635413,0.026178158861953814,0.019076488557308945,0.008003348713772094,0.025334258618568112,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-03-31,0.1164301192846997,0.0972744117360518,0.097163522298028,0.09936353805395584,0.08704957443245889,0.12138796951652236,0.29135342705258716,0.08997743762569624,1.814723799978076,0.019551586445668453,0.02340177135433264,0.02342847900359101,0.022909747243885187,0.0261505418827812,0.01875304077612445,0.007813168923746429,0.025299604013442046,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
2016-04-29,0.11668231342374008,0.09788726756979842,0.09745031592447935,0.09984796253431658,0.08663807849737051,0.12112278973064251,0.290559557089548,0.08981171523010462,1.816250594192317,0.019456169794176293,0.023191891635250983,0.023295880371582405,0.022736476982886302,0.026203153870944677,0.01874288816331031,0.007813168923746429,0.025277224648623812,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,pot,pot,pot,pot,pot,pot,pot,pot
