src,dst,weight_pct,date
SPY,GLD,0.9399153098337517,2013-01-18
QQQ,SPY,18.03191197393957,2013-01-18
QQQ,IWM,17.892538205469158,2013-01-18
QQQ,EFA,16.051678039975233,2013-01-18
QQQ,EEM,15.912666583626168,2013-01-18
QQQ,TLT,10.583561185924541,2013-01-18
QQQ,LQD,1.8825992551504336,2013-01-18
QQQ,GLD,0.5683027490960405,2013-01-18
IWM,SPY,18.220135030822377,2013-01-18
IWM,QQQ,18.110338783243982,2013-01-18
IWM,EFA,16.344671158086303,2013-01-18
IWM,EEM,16.416004312711532,2013-01-18
IWM,TLT,10.741509666321058,2013-01-18
IWM,LQD,1.7596303746221658,2013-01-18
IWM,GLD,0.9189797286737543,2013-01-18
EFA,SPY,17.49294807101191,2013-01-18
EFA,QQQ,16.13726715522943,2013-01-18
EFA,IWM,16.340116382196925,2013-01-18
EFA,EEM,18.619477239121828,2013-01-18
EFA,TLT,11.50817377985991,2013-01-18
EFA,LQD,1.3350292615542028,2013-01-18
EFA,GLD,2.40670310566273,2013-01-18
EEM,SPY,16.663350390675618,2013-01-18
EEM,QQQ,15.709980471462353,2013-01-18
EEM,IWM,16.101270015139647,2013-01-18
EEM,EFA,18.231065849738982,2013-01-18
EEM,TLT,10.676956707118123,2013-01-18
EEM,LQD,1.069364555512498,2013-01-18
EEM,GLD,3.8046896413966316,2013-01-18
TLT,SPY,8.597830805896841,2013-01-18
TLT,QQQ,7.571918491511815,2013-01-18
TLT,IWM,7.554884405493581,2013-01-18
TLT,EFA,7.972784376209513,2013-01-18
TLT,EEM,7.562696565688285,2013-01-18
TLT,LQD,24.888596897052846,2013-01-18
TLT,GLD,0.5049723528498588,2013-01-18
LQD,SPY,0.37626235134493624,2013-01-18
LQD,QQQ,0.32866616650615715,2013-01-18
LQD,IWM,0.2395404858077175,2013-01-18
LQD,EFA,0.17500914122759081,2013-01-18
LQD,EEM,0.06708628163422745,2013-01-18
LQD,TLT,11.86637883675436,2013-01-18
LQD,GLD,2.4382891756422556,2013-01-18
GLD,SPY,0.1991099269430676,2013-01-18
GLD,QQQ,0.21276786797183445,2013-01-18
GLD,IWM,0.25482049134056195,2013-01-18
GLD,EFA,0.5832332087127701,2013-01-18
GLD,EEM,0.953750329541847,2013-01-18
GLD,TLT,0.21983501910448477,2013-01-18
GLD,LQD,1.5961315768160707,2013-01-18
