date,TCI,lags_used,TO_SPY,FROM_SPY,NET_SPY,TO_QQQ,FROM_QQQ,NET_QQQ,TO_IWM,FROM_IWM,NET_IWM,TO_EFA,FROM_EFA,NET_EFA,TO_EEM,FROM_EEM,NET_EEM,TO_TLT,FROM_TLT,NET_TLT,TO_LQD,FROM_LQD,NET_LQD,TO_GLD,FROM_GLD,NET_GLD
2013-01-04,63.3837703781397,1,92.91548987593679,79.58442886577359,13.331061010163204,81.11252504607972,77.72164126697722,3.390883779102516,82.61416597993892,78.01305955533292,4.601106424606005,83.97451622605601,78.15811405470127,5.81640217135474,82.42851311869876,77.83466562495853,4.593847493740233,64.51987689108158,68.786951831106,-4.267074940024418,15.434464672707648,34.92338433278789,-19.488919660080246,4.070611214618153,12.047917493480186,-7.977306278862034
2013-01-11,63.38194503945373,1,92.89173743759207,79.58888761629284,13.302849821299233,81.16631281142934,77.73484917872412,3.4314636327052117,82.61879136675377,78.01944384917586,4.599347517577912,83.88047325091208,78.16467664948267,5.7157966014294015,82.33021611941604,77.83246896520245,4.497747154213583,64.58643143200544,68.81262843452008,-4.226197002514631,15.465138222400451,34.973075721400384,-19.50793749899993,4.116459675120735,11.929529900831511,-7.813070225710778
2013-01-18,63.321229783706826,1,92.87435384226094,79.58154855063432,13.29280529162662,80.92325799318112,77.70946954870294,3.213788444478194,82.51126905448118,77.9992127799649,4.512056274516263,83.83971499463694,78.15566556708511,5.684049427551829,82.25667763104386,77.80973282123476,4.446944809809095,64.65368389470275,68.79965179383136,-4.14596789912861,15.491232438917244,34.93270514504628,-19.441472706129034,4.019648420430637,11.58185206315502,-7.562203642724384
2013-01-28,63.31648851635301,1,92.8693791505226,79.58089744827555,13.288481702247045,80.93754799715532,77.69052874873772,3.247019248417604,82.46836189978134,77.9951642405156,4.473197659265726,83.6964197297496,78.13623825757614,5.560181472173465,82.11902971971551,77.79369482981558,4.325334889899935,64.90193346538659,68.88443981963727,-3.982506354250681,15.574166715944763,35.03936971942,-19.465203003475242,3.9650694525683363,11.41157506684619,-7.446505614277854
2013-02-04,63.31139636698004,1,92.86527090771838,79.59092291239511,13.274347995323266,81.13415401346441,77.7202739707644,3.4138800427000127,82.33446021949679,77.99097439555665,4.343485823940152,83.62545947595052,78.14075775010943,5.484701725841079,81.96129154569635,77.80014156904483,4.161149976651535,65.10266181591655,69.00433625590983,-3.9016744399932857,15.56466458791581,35.112185298173294,-19.547520710257484,3.9032083696814666,11.131578783886761,-7.228370414205296
2013-02-11,63.17121246292642,1,92.79044784720364,79.56153100895216,13.22891683825148,80.96621366566558,77.68711509011385,3.279098575551731,82.18105169132338,77.95213521365892,4.228916477664447,83.33981297166976,78.08932923184766,5.250483739822098,81.54682272264293,77.73088367927873,3.8159390433641915,65.18290669482276,68.97202147677042,-3.7891147819476667,15.691595678451407,35.32041572945794,-19.62882005100654,3.6708484316319065,10.056268273331638,-6.385419841699731
2013-02-19,63.14434705997471,1,92.79634424643717,79.55813735997015,13.238206886467019,80.91624144007228,77.67202073955163,3.2442207005206614,82.15786966281122,77.94855345564909,4.209316207162129,83.35495693342548,78.0949958739172,5.259961059508278,81.44366864132763,77.73237311281092,3.7112955285167226,65.28153201736349,69.02140666923849,-3.739874651874997,15.744271581786423,35.54846664647668,-19.804195064690262,3.45989195657395,9.578822622183505,-6.118930665609555
2013-02-26,63.203745542196955,1,92.86910960444288,79.56750269704916,13.301606907393726,80.99729119089956,77.68309583046113,3.314195360438432,82.26431731688051,77.96789870127992,4.296418615600583,83.36887142922751,78.09609951076672,5.2727719184607835,81.24869392572684,77.71551137015145,3.533182555575398,65.36191890590037,69.08431305509474,-3.7223941491943746,15.98881378886253,36.02249152338536,-20.033677734522833,3.5309481756353707,9.49305164938707,-5.962103473751699
2013-03-05,63.18822551764639,1,92.81346044239422,79.57911941187571,13.234341030518504,81.00328233673923,77.69448275501864,3.3087995817206006,82.26296860133388,77.98304023777742,4.279928363556474,83.36967262485821,78.11730138792653,5.252371236931674,81.13003402386126,77.70993070532361,3.4201033185376373,65.50910961340252,69.1406882307518,-3.631578617349296,16.007048861428768,36.12661858984006,-20.119569728411292,3.410227637153035,9.154622822657327,-5.744395185504292
2013-03-12,63.18315743609417,1,92.82010388922218,79.56508778534375,13.255016103878436,80.90742423354807,77.66559996575262,3.2418242677954456,82.23905343496595,77.96487547719441,4.274177957771541,83.35022402803635,78.1033165792217,5.246907448814653,81.0931524658265,77.69197917048956,3.4011732953369567,65.52541631708725,69.09801520647635,-3.5725988893891003,16.08051170117789,36.10286097325969,-20.022349272081797,3.4493734188891776,9.273524331015292,-5.8241509121261155
2013-03-19,63.21373515560479,1,92.84615228675435,79.57777313651881,13.268379150235532,80.89333359478739,77.67465140992226,3.218682184865118,82.22134792117082,77.97034762598753,4.251000295183294,83.41849345244773,78.12016640572863,5.298327046719098,81.06937020975342,77.69891297859115,3.3704572311622605,65.72232235952565,69.20506586704302,-3.4827435075173607,16.11301638631272,36.20417438203092,-20.091157995718202,3.4258450340862416,9.258789439015988,-5.832944404929746
2013-03-26,63.22397682890693,1,92.89631956010605,79.59680048753654,13.299519072569499,80.93313933939964,77.69258797918872,3.2405513602109415,82.30570733911871,77.99448423096132,4.3112231081573915,83.40877098546031,78.14037158495282,5.268399400507484,80.96174986089292,77.70862333209105,3.253126528801864,66.02745840561846,69.42082133977905,-3.393362934160593,15.96613168194591,36.387833497817084,-20.421701815871174,3.2925374587134697,8.85029217892884,-5.55775472021537
