,FROM_others,TO_others,NET
SPY,1.358106299461249,311.0689614825369,309.71085518307564
TLT,11.06191650812669,67.58432148088595,56.52240497275926
GLD,13.673343208343823,0.2434565496023367,-13.429886658741486
EFA,75.6114105388811,17.527996886614822,-58.08341365226628
LQD,65.92841798997712,3.21081803844458,-62.71759995153254
EEM,74.5852598147006,2.2046540530387184,-72.38060576166188
IWM,78.9514217416139,2.28192517715593,-76.66949656445797
QQQ,86.86377029930415,3.911512732129433,-82.95225756717471
