date,TCI,TO_SPY,FROM_SPY,NET_SPY,TO_QQQ,FROM_QQQ,NET_QQQ,TO_IWM,FROM_IWM,NET_IWM,TO_EFA,FROM_EFA,NET_EFA,TO_EEM,FROM_EEM,NET_EEM,TO_TLT,FROM_TLT,NET_TLT,TO_LQD,FROM_LQD,NET_LQD,TO_GLD,FROM_GLD,NET_GLD
2012-05-22,100.0,195.11536301232832,100.0,95.1153630123283,65.52781984373075,100.0,-34.472180156269246,75.72636044392385,100.0,-24.273639556076144,100.40204704929485,100.0,0.40204704929485136,108.64822094537674,100.0,8.648220945376739,128.0913663826538,100.0,28.091366382653817,73.97169961849292,100.0,-26.028300381507073,52.51712270419877,100.00000000000003,-47.48287729580125
2012-05-23,100.0,193.20946664676495,100.0,93.20946664676495,64.60402063087739,100.0,-35.39597936912261,76.81231954383175,99.99999999999999,-23.187680456168238,103.4279611878985,100.00000000000003,3.427961187898476,107.6583099467511,99.99999999999997,7.658309946751118,130.18576054867768,100.0,30.185760548677678,72.1355156727483,99.99999999999999,-27.86448432725169,51.96664582245035,100.0,-48.03335417754965
2012-05-24,100.0,190.3102632886044,100.0,90.3102632886044,66.036030695031,100.0,-33.963969304969,80.28502879244664,100.0,-19.71497120755337,95.48495385750103,100.0,-4.515046142498969,110.84987859599302,100.0,10.849878595993022,127.78581140770639,99.99999999999999,27.785811407706408,76.72176717569424,100.0,-23.278232824305768,52.52626618702328,100.0,-47.47373381297672
2012-05-25,100.0,192.04799813938214,100.0,92.04799813938213,63.82172205523293,100.0,-36.17827794476707,82.9631144531632,100.0,-17.0368855468368,95.8228444930865,99.99999999999999,-4.177155506913477,107.11966064280345,100.0,7.119660642803449,124.39573428906907,100.0,24.395734289069072,79.0944587354906,99.99999999999997,-20.905541264509374,54.73446719177208,100.0,-45.26553280822792
2012-05-29,100.0,196.8778438213697,100.0,96.87784382136971,64.90184684475064,100.0,-35.09815315524937,82.14878896951265,100.0,-17.851211030487345,105.48298327771421,99.99999999999999,5.482983277714226,91.50458673350391,100.0,-8.495413266496088,120.80691280016,100.0,20.806912800160006,82.81413908824487,100.0,-17.185860911755135,55.46289846474405,100.0,-44.53710153525595
2012-05-30,100.0,190.4209804873672,100.0,90.42098048736717,76.59341765466945,100.0,-23.406582345330552,74.71667171439128,99.99999999999997,-25.283328285608697,113.75043991591419,100.0,13.750439915914182,84.06667797808346,100.0,-15.93332202191654,125.50725070225045,100.00000000000003,25.507250702250417,80.37452277027735,100.0,-19.625477229722655,54.57003877704668,100.0,-45.42996122295332
2012-05-31,100.0,187.52601530335954,99.99999999999999,87.52601530335956,76.6113267878235,100.0,-23.388673212176503,74.78482926057255,100.0,-25.21517073942745,116.29796468258971,99.99999999999999,16.297964682589715,84.63459128911487,100.0,-15.36540871088513,122.70527716224271,99.99999999999999,22.70527716224272,87.40322231900699,100.0,-12.59677768099301,50.03677319529013,100.0,-49.96322680470987
2012-06-01,100.0,184.17931152956345,100.0,84.17931152956344,81.37397619284431,100.0,-18.62602380715569,73.63914555054161,99.99999999999999,-26.360854449458373,115.77638604749869,100.0,15.776386047498692,78.98081514396759,100.0,-21.019184856032414,115.06046476851117,100.0,15.060464768511173,90.79250324424343,99.99999999999997,-9.20749675575655,60.19739752282973,100.0,-39.80260247717027
2012-06-04,100.0,187.28910301124114,100.0,87.28910301124114,82.94514157460955,99.99999999999999,-17.05485842539044,75.08401378105263,100.0,-24.915986218947374,101.7975726435274,100.00000000000003,1.7975726435273787,82.76784687197151,100.0,-17.232153128028482,111.2113269305785,100.0,11.21132693057849,97.87536511449714,100.00000000000003,-2.124634885502874,61.029630072522124,100.0,-38.970369927477876
2012-06-05,100.0,188.98635583145636,100.0,88.98635583145638,86.31930984700166,100.0,-13.68069015299833,72.2039871233191,100.0,-27.79601287668091,104.16669098193907,100.0,4.16669098193907,79.32788108522028,100.0,-20.672118914779713,107.55411305286427,100.0,7.554113052864264,99.46688083000026,100.0,-0.5331191699997295,61.97478124819895,100.0,-38.02521875180105
